   Time             I1                VP1               V3              
 8.016200000E-001  3.788060025E+000  3.719609103E+000  4.998519468E-001 
 8.016300000E-001  3.792290298E+000  3.719397228E+000  4.998519449E-001 
 8.016400000E-001  3.796246558E+000  3.719199030E+000  4.998519430E-001 
 8.016500000E-001  3.799913191E+000  3.719015292E+000  4.998519411E-001 
 8.016600000E-001  3.803275729E+000  3.718846739E+000  4.998519393E-001 
 8.016700000E-001  3.806320898E+000  3.718694037E+000  4.998519374E-001 
 8.016800000E-001  3.809036683E+000  3.718557787E+000  4.998519355E-001 
 8.016900000E-001  3.811412364E+000  3.718438527E+000  4.998519336E-001 
 8.017000000E-001  3.813438568E+000  3.718336729E+000  4.998519317E-001 
 8.017100000E-001  3.815107295E+000  3.718252794E+000  4.998519298E-001 
 8.017200000E-001  3.816411962E+000  3.718187053E+000  4.998519279E-001 
 8.017300000E-001  3.817347419E+000  3.718139766E+000  4.998519260E-001 
 8.017400000E-001  3.817909974E+000  3.718111119E+000  4.998519241E-001 
 8.017500000E-001  3.818097407E+000  3.718101225E+000  4.998519222E-001 
 8.017600000E-001  3.817908979E+000  3.718110124E+000  4.998519203E-001 
 8.017700000E-001  3.817345433E+000  3.718137780E+000  4.998519185E-001 
 8.017800000E-001  3.816408993E+000  3.718184084E+000  4.998519166E-001 
 8.017900000E-001  3.815103355E+000  3.718248853E+000  4.998519147E-001 
 8.018000000E-001  3.813433671E+000  3.718331833E+000  4.998519128E-001 
 8.018100000E-001  3.811406532E+000  3.718432694E+000  4.998519109E-001 
 8.018200000E-001  3.809029936E+000  3.718551040E+000  4.998519090E-001 
 8.018300000E-001  3.806313265E+000  3.718686403E+000  4.998519071E-001 
 8.018400000E-001  3.803267238E+000  3.718838248E+000  4.998519052E-001 
 8.018500000E-001  3.799903878E+000  3.719005978E+000  4.998519033E-001 
 8.018600000E-001  3.796236458E+000  3.719188929E+000  4.998519014E-001 
 8.018700000E-001  3.792279451E+000  3.719386380E+000  4.998518996E-001 
 8.018800000E-001  3.788048474E+000  3.719597551E+000  4.998518977E-001 
 8.018900000E-001  3.783560226E+000  3.719821610E+000  4.998518958E-001 
 8.019000000E-001  3.778832418E+000  3.720057671E+000  4.998518939E-001 
 8.019100000E-001  3.773883709E+000  3.720304803E+000  4.998518920E-001 
