   Time             Iac2              Iac1              Vac1              Vac2            
 8.001240000E-001 -3.057164299E-003  1.088130475E-003  3.982519425E+000  3.983598582E+000 
 8.001250000E-001 -3.074653421E-003  1.091166268E-003  3.982522047E+000  3.983595949E+000 
 8.001260000E-001 -3.090143696E-003  1.094177193E-003  3.982524671E+000  3.983593303E+000 
 8.001270000E-001 -3.103711066E-003  1.097168578E-003  3.982527294E+000  3.983590647E+000 
 8.001280000E-001 -3.115432357E-003  1.100136870E-003  3.982529918E+000  3.983587983E+000 
 8.001290000E-001 -3.125383952E-003  1.103080294E-003  3.982532543E+000  3.983585313E+000 
 8.001300000E-001 -3.133643567E-003  1.106005953E-003  3.982535167E+000  3.983582638E+000 
 8.001310000E-001 -3.140290250E-003  1.108904968E-003  3.982537792E+000  3.983579960E+000 
 8.001320000E-001 -3.145403049E-003  1.111784442E-003  3.982540417E+000  3.983577280E+000 
 8.001330000E-001 -3.149060124E-003  1.114639048E-003  3.982543042E+000  3.983574600E+000 
 8.001340000E-001 -3.151341854E-003  1.117470561E-003  3.982545668E+000  3.983571921E+000 
 8.001350000E-001 -3.152328620E-003  1.120280757E-003  3.982548293E+000  3.983569244E+000 
 8.001360000E-001 -3.152101247E-003  1.123067861E-003  3.982550919E+000  3.983566571E+000 
 8.001370000E-001 -3.150740113E-003  1.125831872E-003  3.982553545E+000  3.983563902E+000 
 8.001380000E-001 -3.148326488E-003  1.128571014E-003  3.982556171E+000  3.983561239E+000 
 8.001390000E-001 -3.144942085E-003  1.131290617E-003  3.982558797E+000  3.983558583E+000 
 8.001400000E-001 -3.140669058E-003  1.133985350E-003  3.982561424E+000  3.983555934E+000 
 8.001410000E-001 -3.135589122E-003  1.136656991E-003  3.982564050E+000  3.983553293E+000 
 8.001420000E-001 -3.129784432E-003  1.139305539E-003  3.982566676E+000  3.983550661E+000 
 8.001430000E-001 -3.123337144E-003  1.141930994E-003  3.982569302E+000  3.983548038E+000 
 8.001440000E-001 -3.116329861E-003  1.144533357E-003  3.982571929E+000  3.983545425E+000 
 8.001450000E-001 -3.108845625E-003  1.147112627E-003  3.982574555E+000  3.983542822E+000 
 8.001460000E-001 -3.100966151E-003  1.149668805E-003  3.982577181E+000  3.983540231E+000 
 8.001470000E-001 -3.092774925E-003  1.152200113E-003  3.982579807E+000  3.983537650E+000 
 8.001480000E-001 -3.084353217E-003  1.154710105E-003  3.982582433E+000  3.983535080E+000 
 8.001490000E-001 -3.075784960E-003  1.157195229E-003  3.982585058E+000  3.983532522E+000 
 8.001500000E-001 -3.067151422E-003  1.159655483E-003  3.982587684E+000  3.983529974E+000 
 8.001510000E-001 -3.058536091E-003  1.162092644E-003  3.982590309E+000  3.983527438E+000 
 8.001520000E-001 -3.050019348E-003  1.164506713E-003  3.982592934E+000  3.983524913E+000 
 8.001530000E-001 -3.041684238E-003  1.166899466E-003  3.982595559E+000  3.983522399E+000 
 8.001540000E-001 -3.033612472E-003  1.169265573E-003  3.982598184E+000  3.983519895E+000 
 8.001550000E-001 -3.025884876E-003  1.171608588E-003  3.982600808E+000  3.983517401E+000 
 8.001560000E-001 -3.018582717E-003  1.173926734E-003  3.982603432E+000  3.983514917E+000 
 8.001570000E-001 -3.011787264E-003  1.176221787E-003  3.982606056E+000  3.983512441E+000 
 8.001580000E-001 -3.005578009E-003  1.178495523E-003  3.982608679E+000  3.983509974E+000 
 8.001590000E-001 -3.000035331E-003  1.180742615E-003  3.982611302E+000  3.983507515E+000 
 8.001600000E-001 -2.995239168E-003  1.182964837E-003  3.982613924E+000  3.983505063E+000 
 8.001610000E-001 -2.991268122E-003  1.185163967E-003  3.982616546E+000  3.983502617E+000 
 8.001620000E-001 -2.988200798E-003  1.187340004E-003  3.982619168E+000  3.983500176E+000 
 8.001630000E-001 -2.986115355E-003  1.189489396E-003  3.982621789E+000  3.983497738E+000 
 8.001640000E-001 -2.985089509E-003  1.191617471E-003  3.982624410E+000  3.983495304E+000 
 8.001650000E-001 -2.985200087E-003  1.193720678E-003  3.982627030E+000  3.983492872E+000 
 8.001660000E-001 -2.986522585E-003  1.195797239E-003  3.982629649E+000  3.983490440E+000 
 8.001670000E-001 -2.989133829E-003  1.197852484E-003  3.982632268E+000  3.983488007E+000 
 8.001680000E-001 -2.993107540E-003  1.199881083E-003  3.982634887E+000  3.983485572E+000 
 8.001690000E-001 -2.998518767E-003  1.201886590E-003  3.982637504E+000  3.983483133E+000 
 8.001700000E-001 -3.005440785E-003  1.203867228E-003  3.982640122E+000  3.983480689E+000 
 8.001710000E-001 -3.013945982E-003  1.205822997E-003  3.982642738E+000  3.983478238E+000 
 8.001720000E-001 -3.024106743E-003  1.207753897E-003  3.982645354E+000  3.983475779E+000 
 8.001730000E-001 -3.035993679E-003  1.209659928E-003  3.982647969E+000  3.983473309E+000 
 8.001740000E-001 -3.049677400E-003  1.211542866E-003  3.982650583E+000  3.983470827E+000 
 8.001750000E-001 -3.065226739E-003  1.213400935E-003  3.982653196E+000  3.983468332E+000 
 8.001760000E-001 -3.082710531E-003  1.215234136E-003  3.982655809E+000  3.983465820E+000 
 8.001770000E-001 -3.102325064E-003  1.217060230E-003  3.982658421E+000  3.983463289E+000 
 8.001780000E-001 -3.122248238E-003  1.220900714E-003  3.982661035E+000  3.983460737E+000 
 8.001790000E-001 -3.142124783E-003  1.226197810E-003  3.982663653E+000  3.983458172E+000 
 8.001800000E-001 -3.161938267E-003  1.233383173E-003  3.982666276E+000  3.983455590E+000 
 8.001810000E-001 -3.181688246E-003  1.242367986E-003  3.982668906E+000  3.983452991E+000 
 8.001820000E-001 -3.201374721E-003  1.253058102E-003  3.982671545E+000  3.983450375E+000 
 8.001830000E-001 -3.220996803E-003  1.265366478E-003  3.982674195E+000  3.983447741E+000 
